Sensor_Type,Ammonia_ppm,Methane_ppm,CO2_ppm,H2S_ppm,MQ-137 Ammonia,MQ-4 Methane,MQ136 H2S,SCD41 CO2
MQ136 H2S,195.24350747406024,412.4608859849003,1828.7069002087474,4.535571285193622,0.0,0.0,1.0,0.0
MQ-137 Ammonia,9.141830826087677,301.98156006501034,1868.059937247947,11.377613873557372,1.0,0.0,0.0,0.0
MQ-4 Methane,93.88225884614143,389.827474875602,2743.8666954065725,1.254843568932634,0.0,1.0,0.0,0.0
MQ-137 Ammonia,198.75141691032053,171.16983521281873,2094.132039043329,17.723574238340664,1.0,0.0,0.0,0.0
MQ-137 Ammonia,79.720557487594,213.861956832335,3678.825651247217,18.472730398127407,1.0,0.0,0.0,0.0
MQ136 H2S,194.06666872102437,299.7632339676265,2590.3793003882774,17.55357736299213,0.0,0.0,1.0,0.0
MQ136 H2S,103.25193941876626,411.8241969185453,1971.5852295952468,3.6130333459750146,0.0,0.0,1.0,0.0
SCD41 CO2,64.19450264953537,100.46659695008877,2495.46995320641,0.8072412101650149,0.0,0.0,0.0,1.0
MQ136 H2S,61.19617424966474,238.41483562939916,3650.7430412468507,18.149889429581826,0.0,0.0,1.0,0.0
MQ-4 Methane,103.9016855825655,302.46711988071064,4562.688110795819,2.6954732516917495,0.0,1.0,0.0,0.0
MQ-4 Methane,117.37071029425643,411.90543459714786,4848.79649129677,12.28280759999427,0.0,1.0,0.0,0.0
MQ-4 Methane,19.823658416549122,422.13314338404354,2314.5176671387944,12.543023346537634,0.0,1.0,0.0,0.0
MQ-4 Methane,184.05915714380822,115.67470603365459,3854.7936705721963,2.8951170137795508,0.0,1.0,0.0,0.0
SCD41 CO2,111.05696752824191,322.2467590248677,2177.4732618177877,8.712431343883027,0.0,0.0,0.0,1.0
MQ-137 Ammonia,128.1506619113403,393.63933229537815,887.8987660979861,4.427591810277147,1.0,0.0,0.0,0.0
SCD41 CO2,197.10989657851508,15.652926041818615,3415.3158065663747,9.478444125454324,0.0,0.0,0.0,1.0
MQ-137 Ammonia,117.65340598658638,127.91377986701897,4492.095807153372,2.109903646763466,1.0,0.0,0.0,0.0
SCD41 CO2,148.5645496323779,419.28717022402947,757.0927877530299,6.039053355284585,0.0,0.0,0.0,1.0
MQ136 H2S,5.6536663261414795,496.5507446881873,4218.089599598397,13.726692799987106,0.0,0.0,1.0,0.0
MQ136 H2S,116.98615075562277,86.30325881107669,1855.6241710074198,1.6299727197100553,0.0,0.0,1.0,0.0
MQ-4 Methane,37.644346574025505,192.55060502084692,1645.753589981002,4.744002538750166,0.0,1.0,0.0,0.0
MQ136 H2S,71.53301263503572,300.88096022661136,3157.219613576483,7.254282369461831,0.0,0.0,1.0,0.0
SCD41 CO2,175.2216235972575,205.96612889076746,1100.7660162407778,18.61482775916489,0.0,0.0,0.0,1.0
MQ-137 Ammonia,157.04010560829275,401.58918705902636,2956.0159806798333,13.720231015242739,1.0,0.0,0.0,0.0
MQ136 H2S,55.76059823846498,155.02720801777699,1345.653329477379,9.777010465549676,0.0,0.0,1.0,0.0
MQ136 H2S,143.05336328899597,495.52960596480517,2170.63048519779,17.67324844395672,0.0,0.0,1.0,0.0
SCD41 CO2,168.08721748110855,430.28820037660097,2785.788923953035,18.437670569540547,0.0,0.0,0.0,1.0
MQ136 H2S,175.47957432263848,183.16925217346122,1327.134845506011,5.572124836505973,0.0,0.0,1.0,0.0
MQ-4 Methane,24.501542666344886,218.44862856423612,3684.9018011279622,11.30688629130801,0.0,1.0,0.0,0.0
MQ-4 Methane,185.78618982014189,130.28567788778432,1325.1199646309449,3.105781047332192,0.0,1.0,0.0,0.0
SCD41 CO2,148.7831663653747,107.62217178688257,2651.426484893591,3.6786527448839843,0.0,0.0,0.0,1.0
MQ-137 Ammonia,152.320877692192,456.3242339765354,1468.3686938089768,7.747752942974432,1.0,0.0,0.0,0.0
MQ136 H2S,199.07261722715597,317.453955447167,1228.7829886435557,3.5362385341577034,0.0,0.0,1.0,0.0
MQ-137 Ammonia,156.38131347713326,213.57996962445606,921.1344224474185,14.502980678329727,1.0,0.0,0.0,0.0
MQ-4 Methane,124.49215459014546,363.61174719384854,553.9600186882224,18.306203953129096,0.0,1.0,0.0,0.0
MQ136 H2S,105.13744961460932,260.722135497641,1608.5188632469458,17.588300664307333,0.0,0.0,1.0,0.0
MQ136 H2S,27.012989677648218,149.78522409517288,4899.976472419535,14.794837346825979,0.0,0.0,1.0,0.0
MQ136 H2S,101.09342946511633,233.77274437190908,1765.985530756397,18.65210199464909,0.0,0.0,1.0,0.0
SCD41 CO2,99.59264299598121,221.89620178896703,1536.8321463589475,11.161616855080542,0.0,0.0,0.0,1.0
SCD41 CO2,107.87434356327778,115.96283839313318,2676.756997591539,14.213417177978044,0.0,0.0,0.0,1.0
MQ136 H2S,143.39646663187344,371.3442215287829,824.7692732520846,1.3993060437469294,0.0,0.0,1.0,0.0
MQ136 H2S,107.02066460559978,138.05197517892515,2965.9596967336083,10.831946646072229,0.0,0.0,1.0,0.0
SCD41 CO2,79.66257778379462,231.33582824225977,1629.7486745512776,3.391613798272585,0.0,0.0,0.0,1.0
